LEARNING RATE,EPOCHS,%TRAINING,TEST SUCCESS,EXE TIME(ms)
"0,1",200,10,"0,83",-
"0,1",200,20,"0,88",-
"0,1",200,30,"0,92",-
"0,1",200,40,"0,93",-
"0,1",85,50,"0,95",962
"0,1",200,60,"0,94",-
"0,1",105,70,"0,95",1656
"0,1",20,80,"0,96",406
"0,1",20,90,"0,95",426
"0,1",10,100,"0,95",450
"0,2",200,10,"0,87",-
"0,2",200,20,"0,91",-
"0,2",200,30,"0,93",-
"0,2",200,40,"0,92",-
"0,2",200,50,"0,94",-
"0,2",45,60,"0,95",626
"0,2",15,70,"0,95",241
"0,2",200,80,"0,94",-
"0,2",20,90,"0,95",416
"0,2",10,100,"0,95",234
"0,5",200,10,"0,9",-
"0,5",200,20,"0,91",-
"0,5",50,30,"0,95",341
"0,5",45,40,"0,95",409
"0,5",15,50,"0,95",184
"0,5",10,60,"0,95",157
"0,5",15,70,"0,95",246
"0,5",10,80,"0,96",200
"0,5",10,90,"0,95",222
"0,5",5,100,"0,96",121
1,200,10,"0,89",-
1,200,20,"0,93",-
1,20,30,"0,95",147
1,10,40,"0,96",101
1,10,50,"0,95",124
1,10,60,"0,95",145
1,5,70,"0,95",90
1,10,80,"0,95",191
1,5,90,"0,95",113
1,5,100,"0,97",123
"1,5",200,10,"0,89",-
"1,5",200,20,"0,93",-
"1,5",20,30,"0,95",160
"1,5",15,40,"0,95",146
"1,5",20,50,"0,95",232
"1,5",15,60,"0,95",215
"1,5",15,70,"0,95",243
"1,5",10,80,"0,97",187
"1,5",10,90,"0,95",210
"1,5",10,100,"0,96",230