train ,kohonen error,success,speed
10,"0,05","0,85",621
20,"0,05","0,87",917
30,"0,05","0,92",1176
40,"0,05","0,93",1746
50,"0,05","0,95",2335
60,"0,05","0,96",3178
70,"0,05","0,96",4162
80,"0,05","0,96",5359
90,"0,05","0,98",6695
100,"0,05","0,98",8093
10,"0,1","0,86",498
20,"0,1","0,9",790
30,"0,1","0,94",1050
40,"0,1","0,95",1370
50,"0,1","0,96",2005
60,"0,1","0,95",2768
70,"0,1","0,97",3558
80,"0,1","0,97",4595
90,"0,1","0,98",5589
100,"0,1","0,99",6791
10,"0,2","0,89",428
20,"0,2","0,93",462
30,"0,2","0,95",815
40,"0,2","0,95",869
50,"0,2","0,96",1215
60,"0,2","0,97",1615
70,"0,2","0,97",2233
80,"0,2","0,98",2966
90,"0,2","0,98",3522
100,"0,2","0,98",4053
10,"0,3","0,86",340
20,"0,3","0,92",379
30,"0,3","0,95",559
40,"0,3","0,95",573
50,"0,3","0,96",947
60,"0,3","0,96",992
70,"0,3","0,96",1395
80,"0,3","0,96",1734
90,"0,3","0,97",2238
100,"0,3","0,95",2744